;Naf nick;Naf ID;Coach rating;Alltime high;Year high;Country;Naf games played;Win procent
;Sol;28715;319.14;330.31;330.31;United States of America;131 (104/20/7);87.02
;Clement0;18970;317.89;319.24;317.89;France;678 (410/148/120);71.39
;Olivierdulac;18901;305.48;331.11;0.00;France;502 (320/81/101);71.81
;zahiko;13997;303.12;308.10;308.10;France;628 (323/170/135);64.97
;javin23;28328;300.44;317.61;314.63;Spain;471 (333/82/56);79.41
;frozenflame;4789;298.13;308.96;308.96;United States of America;214 (143/41/30);76.40
;delevus;9884;294.71;297.96;297.96;United States of America;665 (428/133/104);74.36
;Jokaero;2785;294.70;313.05;302.78;Switzerland;654 (384/155/115);70.57
;Samdulac;19452;290.96;298.02;298.02;France;486 (277/125/84);69.86
;bubba;30201;290.81;290.81;290.81;Spain;374 (215/82/77);68.45
;BB_Jock;30617;289.33;292.42;292.42;Scotland;281 (162/82/37);72.24
;Chavrouze51;16353;287.88;294.70;294.70;France;218 (126/52/40);69.72
;AndyDavo;19726;287.55;313.52;313.52;Wales;613 (393/120/100);73.90
;donpimpon;20865;286.18;304.16;288.06;Spain;448 (282/93/73);73.33
;hovring;34738;285.19;297.00;297.00;Denmark;92 (56/27/9);75.54
;Tschirgant;32633;283.58;290.72;290.72;Germany;254 (153/70/31);74.02
;joeseph;38195;282.68;285.68;285.68;Wales;148 (80/44/24);68.92
;BiBi;11491;281.98;300.62;284.43;France;511 (301/121/89);70.74
;Don_Vito;10434;281.62;289.23;282.64;England;830 (492/161/177);68.98
;Diomlord;22346;281.48;306.33;281.48;Italy;474 (262/132/80);69.20
;Maitre_tactac;372;280.75;287.65;287.65;France;581 (302/133/146);63.43
;Spartako;13417;280.67;307.42;280.67;Italy;903 (512/223/168);69.05
;Purplegoo;11777;280.46;292.06;280.46;England;1110 (637/276/197);69.82
;Mankiz;29281;280.05;300.24;300.24;Lithuania;86 (55/22/9);76.74
;jleav;33751;280.02;290.72;290.72;United States of America;186 (132/33/21);79.84
;Frikipe;4818;278.95;293.47;293.47;Spain;855 (562/162/131);75.20
;Dirold;5900;278.00;294.90;284.17;Italy;1046 (584/256/206);68.07
;Storr;27581;277.91;291.22;0.00;Germany;324 (186/90/48);71.30
;Pacho;20513;276.88;284.66;276.88;Spain;572 (288/145/139);63.02
;Bobsol;37997;276.83;276.83;276.83;New Zealand;58 (43/12/3);84.48
;Simon_ACP;17603;276.17;305.12;276.73;France;750 (409/175/166);66.20
;gian;20248;276.13;276.13;276.13;Italy;768 (307/199/262);52.93
;Tripleskull;9524;275.80;275.80;275.80;Denmark;446 (249/110/87);68.16
;Pathfinder_James;18283;275.73;275.73;275.73;Australia;302 (171/59/72);66.39
;bletos;21331;275.41;275.41;275.41;Spain;414 (254/83/77);71.38
;Verrinho;16930;275.08;278.50;0.00;Italy;317 (158/72/87);61.20
;Geggster;70;274.63;283.60;283.60;England;1172 (646/280/246);67.06
;Grzechu;30403;273.93;273.93;273.93;Poland;165 (87/49/29);67.58
;Yena;5798;273.70;299.80;282.53;Italy;1111 (601/250/260);65.35
;xarro;19133;273.67;278.88;278.88;Spain;499 (266/134/99);66.73
;Baki;19064;273.14;279.69;279.69;Germany;291 (162/70/59);67.70
;melisqus;16238;272.17;282.56;282.15;Sweden;536 (293/132/111);66.98
;Skwii;30644;271.77;271.85;271.85;Germany;102 (58/30/14);71.57
;MisspelledTree;25997;271.75;281.95;281.95;England;179 (98/47/34);67.88
;Junior84;20857;271.53;288.62;285.11;Germany;492 (270/137/85);68.80
;Grither;10904;271.45;301.30;271.54;United States of America;703 (473/122/108);75.96
;Joemanji;3312;271.18;303.08;283.54;England;1092 (610/287/195);69.00
;SirMayans;3294;270.80;279.12;270.80;Spain;1010 (579/228/203);68.61
;Menzogna;16475;270.15;270.61;270.15;Italy;734 (331/169/234);56.61
;Kewan;7710;269.87;284.28;273.96;Spain;550 (313/122/115);68.00
;PianoDan;7633;269.67;287.10;276.24;Australia;168 (107/26/35);71.43
;HighElfMage;18390;269.10;289.40;289.40;United States of America;255 (180/38/37);78.04
;Breakmonker;27613;269.08;270.83;270.83;England;248 (134/60/54);66.13
;Serafino;24193;268.98;293.48;293.48;Italy;481 (234/140/107);63.20
;Thibault;8601;268.96;293.79;268.96;Spain;525 (303/127/95);69.81
;Spielmacher;9100;268.85;273.14;272.60;Germany;658 (335/217/106);67.40
;Sprinter;21135;268.66;295.80;281.40;Germany;391 (227/92/72);69.82
;Ashrame;25344;268.62;288.02;284.99;France;251 (141/64/46);68.92
;Matte8;13785;268.02;295.93;271.47;Italy;838 (442/214/182);65.51
;punchymcragefists;24508;267.87;269.49;269.49;England;241 (123/55/63);62.45
;Oldone;24566;267.39;273.13;269.70;Portugal;121 (78/33/10);78.10
;PeteW;7769;267.05;312.54;282.64;England;382 (231/79/72);70.81
;Jeff;8964;267.00;288.59;275.09;France;326 (189/84/53);70.86
;dementor;21143;265.07;265.07;265.07;Wales;373 (148/80/145);50.40
;AntonLunau;17846;263.52;289.00;271.93;Denmark;184 (94/54/36);65.76
;Rolex;16091;263.36;279.73;263.36;Italy;1090 (548/256/286);62.02
;MadVig;24222;263.34;263.34;263.34;Denmark;240 (125/62/53);65.00
;Skuld;20481;262.60;262.60;262.60;Sweden;749 (390/181/178);64.15
;ATP;21764;262.28;262.28;262.28;Italy;215 (100/58/57);60.00
;PanicoBlack;21763;262.03;286.32;272.52;Italy;542 (275/129/138);62.64
;Jazmin;17038;261.75;276.63;276.63;Spain;1002 (438/216/348);54.49
;morpao;20249;261.74;292.29;292.29;Italy;377 (183/91/103);60.61
;dazedmw;14772;261.06;274.02;274.02;Australia;425 (244/77/104);66.47
;Bashto;32021;260.96;271.88;271.88;England;171 (88/43/40);64.04
;Jimjimany;12403;260.69;299.78;269.59;England;633 (376/125/132);69.27
;Bucks;10346;260.53;272.54;270.63;France;639 (306/143/190);59.08
;Manz62;9753;260.36;260.36;260.36;Canada;396 (229/89/78);69.07
;Helborg;22470;260.15;319.22;275.74;France;513 (285/127/101);67.93
;strider84;14113;260.02;268.14;261.25;Switzerland;273 (150/63/60);66.48
;otis;16782;259.96;266.36;266.36;Switzerland;280 (131/73/76);59.82
;D_Arquebus;9252;259.76;270.71;270.71;Australia;741 (422/146/173);66.80
;Besters;5131;259.60;270.94;261.72;England;1072 (583/267/222);66.84
;BartK;25878;259.59;268.18;268.18;England;242 (135/57/50);67.56
;Nazgob;16176;259.55;273.94;273.94;England;405 (219/66/120);62.22
;camelchops;32575;259.20;266.46;266.46;Scotland;142 (76/42/24);68.31
;blackpanther;36752;259.17;262.98;262.98;Germany;120 (69/28/23);69.17
;vikingkop;27915;259.10;274.27;274.27;Spain;243 (113/86/44);64.20
;Tyra;18660;259.07;278.66;275.25;France;403 (219/92/92);65.76
;KFoged;10691;258.75;291.02;277.64;England;788 (471/162/155);70.05
;mrlight;34582;258.69;263.57;263.57;Canada;80 (51/18/11);75.00
;cbraw;29046;258.35;263.69;263.69;Denmark;150 (68/47/35);61.00
;Rodney_Dangerfield;9813;257.81;268.44;257.81;United States of America;348 (199/86/63);69.54
;Moro84;20447;257.39;284.44;269.94;Italy;648 (322/176/150);63.27
;monitor;33726;257.30;270.50;270.50;France;182 (100/51/31);68.96
;Justicium;12319;257.27;295.19;262.34;France;532 (275/131/126);64.00
;Sandune;15142;257.19;275.00;261.63;New Zealand;274 (161/67/46);70.99
;brutopatia;26969;256.95;296.78;296.78;Finland;209 (127/51/31);72.97
;Pink_Charlie;12457;256.85;260.18;260.18;France;714 (306/201/207);56.93
;major;27763;256.70;272.51;272.51;On a deserted island;319 (158/101/60);65.36
;Straume;20685;256.62;299.09;293.48;Norway;446 (241/135/70);69.17
;Misiozaurus;27003;256.56;267.99;267.99;Poland;269 (137/94/38);68.40
;Vice;25799;256.30;279.37;256.30;United States of America;185 (110/46/29);71.89
;Drakenspear;28841;256.12;269.21;269.21;Canada;256 (143/65/48);68.55
;Ignaz;3676;255.82;275.20;261.76;Germany;445 (248/97/100);66.63
;nightwind;22261;255.59;262.07;262.07;United States of America;88 (57/20/11);76.14
;zoul;11077;255.27;279.75;0.00;France;205 (100/64/41);64.39
;thulean;28239;255.24;292.25;292.25;England;274 (156/51/67);66.24
;grosnain;14524;255.20;275.45;255.34;France;405 (207/114/84);65.19
;Bileman;11533;255.15;264.48;264.48;Spain;103 (63/17/23);69.42
;JF_;22364;255.11;256.64;256.64;Spain;203 (116/42/45);67.49
;Tonalt;7503;255.07;258.98;255.07;Finland;228 (113/74/41);65.79
;Khamul;21513;255.06;263.45;0.00;Italy;108 (50/33/25);61.57
;Kiltane;36819;254.82;254.82;254.82;Australia;60 (41/11/8);77.50
;zedd;27441;254.62;273.31;264.35;Sweden;144 (77/35/32);65.63
;PurpleChest;24645;254.61;284.19;277.99;England;224 (130/60/34);71.43
;torquemada;31866;254.58;290.17;290.17;England;401 (225/100/76);68.58
;KeepitCoul;25973;254.34;281.57;281.57;Australia;159 (93/34/32);69.18
;Da_Great_MC;8168;254.30;288.87;281.22;Belgium;781 (459/175/147);69.97
;bazakastine;29474;254.13;273.40;257.69;United States of America;106 (71/20/15);76.42
;mudarra93;25531;254.07;265.97;265.97;Spain;108 (72/20/16);75.93
;Shirokov;12520;254.06;296.84;270.56;Spain;658 (395/156/107);71.88
;Stimme;17245;254.05;285.31;285.31;Germany;794 (451/194/149);69.02
;kaju;19529;253.97;269.76;269.76;Sweden;506 (236/131/139);59.58
;Bourpif;19071;253.78;288.69;288.69;France;520 (262/145/113);64.33
;Noerciux;16130;253.73;271.83;266.32;Spain;405 (235/96/74);69.88
;Krix;21116;253.25;264.08;257.79;France;119 (66/21/32);64.29
;Nabolo;28417;253.16;302.93;296.27;France;299 (184/64/51);72.24
;El_Spoonio;27311;252.98;268.57;268.57;England;260 (137/51/72);62.50
;sirvejlance;32550;252.80;263.67;263.67;Sweden;124 (68/35/21);68.95
;Mournival;23496;252.55;252.74;252.74;Scotland;281 (120/78/83);56.58
;sann0638;8866;252.49;255.61;255.26;Scotland;639 (325/132/182);61.19
;Duke_Luthor;11793;252.28;287.19;285.49;Spain;856 (502/211/143);70.97
;Chopper;445;252.26;271.22;257.96;Australia;158 (86/36/36);65.82
;Janninu;21410;252.05;271.55;271.55;Malta;600 (303/150/147);63.00
;itchen;18181;252.00;282.01;282.01;England;568 (326/112/130);67.25
;whigwam;19291;251.97;268.54;253.98;United States of America;221 (133/38/50);68.78
;Swapple;32487;251.77;251.77;251.77;United States of America;86 (54/15/17);71.51
;Oventa;9610;251.58;258.17;258.17;Germany;435 (222/105/108);63.10
;Heavy;23299;251.24;269.26;269.26;Spain;323 (190/70/63);69.66
