"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"1","historic","Super League S7 EU Bottom Swiss","Wood Elf",22667,190.42,190.42,NA,"Historic",184.71,252.98,206.08,"France","196 (92/42/62)",57.65,501,"04 – EU Swiss"
"2","Harpick","Super League S7 EU Bottom Swiss","Halfling",32145,184.05,184.05,NA,"Harpick",223.74,223.74,223.74,"France","36 (20/11/5)",70.83,501,"04 – EU Swiss"
"3","Zahiko","Super League S7 EU Bottom Swiss","Tomb Kings",13997,182.64,233.12,NA,"zahiko",303.12,308.1,308.1,"France","628 (323/170/135)",64.97,501,"04 – EU Swiss"
"4","Borknagar85","Super League S7 EU Bottom Swiss","Skaven",33015,179.28,179.28,NA,"borknagar85",199.72,214.94,214.94,"Italy","53 (18/15/20)",48.11,501,"04 – EU Swiss"
"5","EvilSmoothie","Super League S7 EU Bottom Swiss","Khorne",28783,178.24,201.08,NA,"EvilSmoothie",212.86,229.9,227.12,"Finland","269 (129/70/70)",60.97,501,"04 – EU Swiss"
"6","AmazingGaze","Super League S7 EU Bottom Swiss","Amazon",32634,177.24,201.08,NA,"AmazingGaze",234.6,236.26,236.26,"Germany","67 (33/18/16)",62.69,501,"04 – EU Swiss"
"7","jadawin91","Super League S7 EU Bottom Swiss","Chaos Chosen",28040,177.1,177.1,NA,"Jadawin",214.48,224.89,224.89,"France","114 (52/31/31)",59.21,501,"04 – EU Swiss"
"8","otis","Super League S7 EU Bottom Swiss","Human",16782,175.28,239.44,NA,"otis",259.96,266.36,266.36,"Switzerland","280 (131/73/76)",59.82,501,"04 – EU Swiss"
"9","palmtaiga","Super League S7 EU Bottom Swiss","Vampire",27077,171.68,171.68,NA,"Palmtaiga",183.04,194.55,194.55,"Malta","227 (76/49/102)",44.27,501,"04 – EU Swiss"
"10","xtapodias","Super League S7 EU Bottom Swiss","Skaven",28002,170.86,170.86,NA,"xtapodias",195.73,198.89,198.67,"Greece","86 (33/28/25)",54.65,501,"04 – EU Swiss"
"11","WoZoI","Super League S7 EU Bottom Swiss","Skaven",30779,170.54,184.62,NA,"wozoi",182.91,225.7,225.7,"France","168 (59/45/64)",48.51,501,"04 – EU Swiss"
"12","Yaulande","Super League S7 EU Bottom Swiss","Amazon",41268,162.52,162.52,NA,"Yaulande",171.66,172.47,172.47,"On a deserted island","16 (6/6/4)",56.25,501,"04 – EU Swiss"
"13","benito1724","Super League S7 EU Bottom Swiss","Goblin",32368,161.32,161.32,NA,"benito",181.33,181.33,181.33,"On a deserted island","37 (18/5/14)",55.41,501,"04 – EU Swiss"
"14","Regor","Super League S7 EU Bottom Swiss","Vampire",40935,158.86,168.89,NA,"Regor",200.75,200.75,200.75,"Portugal","20 (13/4/3)",75,501,"04 – EU Swiss"
"15","mepmuff_2","Super League S7 EU Bottom Swiss","Khorne",6123,158.28,201.72,NA,"Mepmuff",214.72,234.31,228.85,"Netherlands","533 (237/123/173)",56,501,"04 – EU Swiss"
